player_id,teams,unlisted_teams
a3ecf01f,"['India', 'Punjab', 'Kings XI Punjab', 'India Maharajas', 'Ahmedabad Rockets']","['India Maharajas', 'Ahmedabad Rockets']"
a40ac203,"['Rajshahi Kings', 'Chittagong']",['Chittagong']
a4349861,['Worcestershire 2nd XI'],['Worcestershire 2nd XI']
a446c7be,"['Bengal', 'Central Zone', 'Railways']",['Central Zone']
a45b449a,"['Queensland', 'Australia', 'Australia Centre of Excellence']",['Australia Centre of Excellence']
a467273e,"['Boland', 'South Africa', 'KwaZulu-Natal', 'Dolphins']",['KwaZulu-Natal']
a46de6e0,"['Hong Kong', 'Pakistan Association', 'Quetta Gladiators']",['Pakistan Association']
a482add2,"['Maldives', 'St. Peters College']",['St. Peters College']
a48fc79d,"['Ireland', 'Sussex', 'Middlesex', 'England', 'Marylebone Cricket Club', 'England Lions']","['Marylebone Cricket Club', 'England Lions']"
a49985e6,"['West Indies', 'Trinidad & Tobago', 'Trinbago Knight Riders']",['Trinidad & Tobago']
a4a2a0c0,"['England', 'Durham Academy', 'Northumberland', 'Durham', 'Durham 2nd XI']","['Durham Academy', 'Northumberland', 'Durham 2nd XI']"
a4b810d0,"['Yorkshire 2nd XI', 'Yorkshire']",['Yorkshire 2nd XI']
a4ce5ffb,"['Cambridge University', 'Kent', 'England', 'Middlesex']",['Cambridge University']
a4ce739d,"['Berkshire', 'South Africa', 'Somerset', 'Cape Cobras', 'Essex', 'Boland', 'Western Province', 'Leicestershire']",['Berkshire']
a4e2bf36,"['Leicestershire', 'Leicestershire 2nd XI']",['Leicestershire 2nd XI']
a4e37e47,"['Royal Challengers Bangalore', 'Rajasthan Royals', 'India Emerging Team', 'India', 'Chennai Super Kings', 'Rizvi Mumbai', 'Mumbai']","['India Emerging Team', 'Rizvi Mumbai']"
a4fdc1d5,"['Kenya', 'Eastern Aces']",['Eastern Aces']
a510bdd3,"['Shropshire', 'Worcestershire', 'England']",['Shropshire']
a51e6c6e,"['Pakistan', 'Lasers', 'Tornadoes']",['Lasers']
a5544576,"['Scotland', 'Northamptonshire', 'Loughborough Marylebone Cricket Club University (England)', 'Northamptonshire 2nd XI']","['Loughborough Marylebone Cricket Club University (England)', 'Northamptonshire 2nd XI']"
a55e0360,"['South Africa', 'Dolphins', 'KwaZulu-Natal Inland', 'Texas Super Kings', 'KwaZulu-Natal', 'Morrisville Unity']","['KwaZulu-Natal', 'Morrisville Unity']"
a56f4b65,"['Kent 2nd XI', 'Highlanders', 'Scotland', 'Leicestershire 2nd XI', 'Northamptonshire 2nd XI', 'Leicestershire']","['Kent 2nd XI', 'Highlanders', 'Leicestershire 2nd XI', 'Northamptonshire 2nd XI']"
