player_id,teams
03d9e80f,['Isle of Man Women cricket']
03da3399,['Austria Women cricket']
03df7a25,"['Surrey Under-13s cricket', 'Manchester Originals (Men) cricket', 'Warwickshire cricket', 'Welsh Fire (Men) cricket', 'Surrey Under-17s cricket', 'Surrey 2nd XI cricket', 'Glamorgan cricket', 'Surrey Under-14s cricket']"
03ecfde2,['Germany cricket']
03ef382c,['Mozambique cricket']
03f1a623,['China Women cricket']
03fb10bd,['Rwanda Women cricket']
03fb73e8,['Japan cricket']
03ff4a44,"['Gemcon Khulna cricket', 'South Zone (Bangladesh) cricket', 'Cricket Coaching School cricket', 'Barisal Division cricket', 'Fortune Barishal cricket']"
040206a2,['Nigeria Women cricket']
04029c44,"['Gujranwala Cricket Association cricket', 'Hong Kong cricket']"
0404d43c,"['Kolkata Knight Riders cricket', 'Bangladesh Under-19s cricket', 'North Zone (Bangladesh) cricket', 'Bangladesh Under-23s cricket', 'Comilla Victorians cricket', 'East Zone (Bangladesh) cricket', 'Galle Titans cricket', 'Bangladesh Under-15s cricket', 'Jamaica Tallawahs cricket', 'Rajshahi Royals cricket', 'Surrey Jaguars cricket', 'Bangladesh cricket', 'Rangpur Division cricket', 'Dhaka Gladiators cricket', 'Gazi Group Chattogram cricket']"
040a03a6,['China cricket']
040f11e8,['Papua New Guinea Women cricket']
0410f8b0,['Leinster cricket']
0420f51f,['United States of America Women cricket']
04381402,"['Kent Women cricket', 'Rubies cricket', 'South East Stars cricket', 'England Academy Women cricket', 'Surrey Stars cricket', 'Oval Invincibles (Women) cricket']"
043e9623,"['Lancashire cricket', 'Lancashire 2nd XI cricket']"
0441a1f5,['Jersey Women cricket']
04420914,['Malawi cricket']
0443414a,"['North Zone (Bangladesh) cricket', 'Barisal Division cricket', 'Bangladesh cricket', 'Rangpur Division cricket', 'Victoria Sporting Club cricket', 'Bangladesh A cricket']"
04539335,['Bahamas Under-19s cricket']
045cd23a,['France Under-19s cricket']
045e73c2,['Spain Women cricket']
0475a86b,"['Trinbago Knight Riders Women cricket', 'Australia Women cricket', 'Brisbane Heat Women cricket', 'Welsh Fire (Women) cricket', 'Delhi Capitals Women cricket', 'Australia Under-21s Women cricket', 'Queensland Women cricket']"
047945ae,['Namibia cricket']
047c67ba,"['Ireland cricket', 'Pakistan International Airlines cricket', 'Surrey cricket', 'Islamabad Cricket Association cricket', 'Lahore Badshahs cricket', 'Sussex cricket', 'Pakistan cricket']"
047d293e,[]
047d9032,"['Tasmania cricket', 'Australia A cricket', 'Australia cricket', 'New South Wales cricket', 'Leicestershire cricket']"
047e80ca,"['Durdanto Dhaka cricket', 'Partex Sporting Club cricket']"
047fc26e,['Arunachal Pradesh cricket']
0480aba6,"['Bangladesh Under-19s cricket', 'Maharashtra cricket', 'UCB-BCB Eleven cricket', 'Prime Bank Cricket Club cricket', 'East Zone (Bangladesh) cricket', 'Chittagong Kings cricket', 'Bangladesh cricket', 'Chattogram Challengers cricket', 'Bangladesh A cricket', 'Sylhet Division cricket']"
0482c3ad,"['Ireland Under-19s cricket', 'Ireland Under-15s cricket', 'Ireland Under-13s cricket']"
04855b85,['Estonia cricket']
048da365,['Germany Women cricket']
048fcf8d,['Eswatini Women cricket']
0494fa6e,"['Royal Challengers Bangalore cricket', 'Sunrisers Hyderabad cricket', 'Kerala cricket', 'Delhi Capitals cricket', 'Mumbai Indians cricket']"
04a418e8,"['India cricket', 'Rajasthan Royals cricket', 'India Under-19s cricket', 'Assam Under-16s cricket', 'Assam cricket', 'Assam Under-19s cricket']"
04a5b56e,"['University Sports South Africa XI cricket', 'Western Province cricket', 'Gauteng cricket', 'Cape Cobras cricket', 'South Africa A cricket', 'Boland cricket']"
04ab1575,['Serbia cricket']
04bc296f,['Bermuda cricket']
04cd8289,['Nagaland cricket']
04cd872b,"['Essex cricket', 'Essex 2nd XI cricket', 'England Under-19s cricket']"
04cf2e94,['Cayman Islands cricket']
04df9697,['Portugal cricket']
04e0cdec,['Uganda Under-19s cricket']
04e145f4,['Mozambique Women cricket']
04e5a38a,"['Thunder cricket', 'Lancashire Women cricket']"
04ea0c3c,['Japan Women cricket']
04ed04d2,"['Kuwait Under-16s cricket', 'Kuwait cricket']"
04ef663a,"['Western Australia cricket', 'Australia Under-19s cricket', 'Perth Scorchers cricket']"
04f0d409,[]
04f201cc,['HCC Women cricket']
04f4f2e1,"['United Arab Emirates cricket', 'Rawalpindi cricket']"
04ff561c,['Oman cricket']
05026222,['Uganda Women cricket']
050492b0,"['Bengal cricket', 'India Red Women cricket', 'India Under-21s Women cricket', 'East Zone Women cricket', 'India Women cricket', 'Asia Women XI cricket']"
050bdc77,['Maldives cricket']
05257527,['Panama cricket']
05273929,[]
0539e735,"['Sydney Sixers cricket', 'Australia Under-19s cricket', 'New South Wales Under-23s cricket']"
053b66e4,['Mongolia Women cricket']
053dc208,[]
053f3ce3,['Papua New Guinea cricket']
0544b8a9,['Myanmar cricket']
054bf55d,"['Panadura Sports Club cricket', 'Sri Lanka cricket', 'Colts Cricket Club cricket', 'Moors Sports Club cricket', 'Ruhuna cricket', 'Ragama Cricket Club cricket', 'Bloomfield Cricket and Athletic Club cricket', 'Abahani Limited cricket', 'Sylhet Division cricket', 'Tamil Union Cricket and Athletic Club cricket']"
054fc648,['Mizoram cricket']
055328c3,['Munster Reds cricket']
0557a636,['Guyana cricket']
055be93a,"['Sydney Sixers cricket', 'Australia Under-19s cricket', 'Adelaide Strikers cricket']"
055e8d7b,"['North West cricket', 'University Sports South Africa XI cricket', 'Lions cricket']"
05625364,"['Rood en Wit Women cricket', 'Netherlands Women cricket']"
056b433b,['Saudi Arabia cricket']
056f58dd,"['Bermuda cricket', 'Bermuda Under-19s cricket']"
057dc519,['Cayman Islands cricket']
05911fef,"['Sydney Thunder Women cricket', 'Tasmania Women cricket']"
05978f8d,['Saudi Arabia cricket']
059ec7a5,['Botswana Under-19s cricket']
05b1aef8,"['Otago Under-19s cricket', 'New Zealand Under-19s cricket', 'Wellington cricket', 'Otago cricket', 'Otago Under-17s cricket']"
05b2f5ff,['United States of America Women cricket']
05bb5fcf,"['Sri Lanka Women cricket', 'Colts Cricket Club Women cricket', 'Marians Ladies cricket', 'Colombo Young Women Cricket Club cricket']"
05bb7c55,['France Women cricket']
05c2ca46,"['Brisbane Heat cricket', 'Royal Challengers Bangalore cricket', 'Sunrisers Eastern Cape cricket', 'Barbados Royals cricket', 'Netherlands cricket', 'South Africa cricket', 'South Africa Under-19s cricket', 'Welsh Fire (Men) cricket', 'Northerns cricket', 'Titans cricket', 'London Spirit (Men) cricket', 'Team Abu Dhabi cricket', 'Dubai Capitals cricket', 'Northern Superchargers (Men) cricket', 'Somerset cricket', 'South Africa A cricket', 'St Lucia Zouks cricket', 'Delhi Daredevils cricket']"
05c7a444,['Baroda cricket']
05cbd606,['Sunrisers cricket']
05cf8905,['Denmark cricket']
05d1964e,['Cambodia Women cricket']
05d4c10d,['New Zealand Under-19s cricket']
05d74535,"['Zarai Taraqiati Bank Limited cricket', 'Khan Research Labs cricket', 'Islamabad Cricket Association cricket', 'Antigua Hawksbills cricket', 'Worcestershire cricket', 'Water and Power Development Authority cricket', 'Dhaka Gladiators cricket', 'Faisalabad cricket', 'Pakistan cricket', 'Islamabad United cricket']"
05d9e607,"['Jammu & Kashmir cricket', 'Jammu & Kashmir Under-14s cricket']"
05d9faac,['Nepal Women cricket']
05da443b,"['Lahore Lions cricket', 'Pakistan Cricket Board Blues cricket', 'Sui Northern Gas Pipelines Limited cricket', 'Agriculture Development Bank of Pakistan cricket', 'Pakistan Under-17s cricket', 'Multan cricket', 'North of Pakistan cricket', 'Pakistan cricket']"
05de1a5a,"['Ireland cricket', 'Ireland Under-19s cricket', 'Surrey cricket', 'Surrey 2nd XI cricket', 'Derbyshire cricket']"
05e0fab5,"['Auckland cricket', 'Warwickshire cricket', 'Canterbury cricket', 'New Zealand cricket']"
05ea0342,['Indonesia cricket']
05f1cff9,['Italy Women cricket']
05f85159,['Northern Knights cricket']
05f96194,"['Scotland cricket', 'Leicestershire 2nd XI cricket', 'Desert Vipers cricket', 'Durham 2nd XI cricket', 'Derbyshire 2nd XI cricket', 'Northern Superchargers (Men) cricket', 'Scotland A cricket']"
0604ef16,"['India cricket', 'Kolkata Knight Riders cricket', 'Railways cricket', 'Deccan Chargers cricket']"
0605de92,"['Essex cricket', 'New Zealand A cricket', 'New Zealand Under-19s cricket', 'New Zealand cricket', 'Worcestershire cricket', 'Otago cricket', 'New Zealand XI cricket']"
06209a4c,"['North West Women cricket', 'Namibia Women cricket']"
0626d312,[]
0637aa94,"['Bangladesh Under-17s cricket', 'Bangladesh Under-19s cricket', 'Sylhet Royals cricket', 'Prime Bank Cricket Club cricket', 'Mohammedan Sporting Club cricket', 'Cricket Coaching School cricket', 'Dhaka Division cricket', 'Sylhet Super Stars cricket', 'Bangladesh A cricket', 'Sylhet Division cricket', 'Sylhet Thunder cricket', 'Chittagong Vikings cricket']"
